attacker_success_msat,attacker_unconditional_msat,target_success_msat,target_unconditional_msat,attacker_to_target_msat
1286350,82463.5,1291127,53511.26999999999,1339813.5
1292105,88305.05,5633351,100367.27000000002,1349000.05 
1289105,88305.05,1303498,57080.15000000001,1346000.05
1146195,75277.95,1160257,48838.57,1194882.95
1296305,88347.05,1308725,57131.25000000001,1353242.05
1292105,88305.05,2144659,65470.969999999994,1349000.05
1146195,75277.95,1159257,48848.57000000001,1194882.95
1296305,88347.05,1308658,57080.58,1353242.05
1274705,88107.05,1290544,56895.44000000001,1331412.05
1292105,88305.05,1301111,57015.11000000001,1349000.05
1293505,76751.05,1307637,50363.26999999998,1343666.05
1295060,82550.6,1305313,53683.13999999999,1348610.6
1293505,76751.05,1299505,50261.04999999999,1343666.05
1137972,69411.72,1159077,45462.77,1183203.72
1272837,76520.37,1283632,50108.95999999999,1322777.37
